,Quarter,Tm,Detail,RAC,MIL
0,1,Badgers,Jim Turner fumble recovery in end zone (Jimmy Conzelman kick),0,7
1,4,Legion,Paul Meyers 14 yard pass from Shorty Barr (Hank Gillo kick),7,7
