,Quarter,Time,Tm,Detail,ATL,GNB
0,1.0,,Packers,Sterling Sharpe 8 yard pass from Brett Favre (Chris Jacke kick),0,7
1,1.0,,Falcons,Norm Johnson 20 yard field goal,3,7
2,1.0,,Packers,Anthony Morgan 15 yard pass from Brett Favre (Chris Jacke kick),3,14
3,2.0,,Falcons,Craig Heyward 2 yard rush (pass failed),9,14
4,4.0,,Falcons,Terance Mathis 5 yard pass from Bobby Hebert (Andre Rison pass from Bobby Hebert),17,14
5,4.0,,Packers,Brett Favre 9 yard rush (Chris Jacke kick),17,21
