,Quarter,Tm,Detail,CLE,HOU
0,1.0,Browns,Matt Bahr 40 yard field goal,3,0
1,2.0,Oilers,Alonzo Highsmith 1 yard rush (Tony Zendejas kick),3,7
2,3.0,Oilers,Ernest Givins 8 yard pass from Warren Moon (Tony Zendejas kick),3,14
3,3.0,Oilers,Mike Rozier 3 yard rush (Tony Zendejas kick),3,21
4,3.0,Browns,Reggie Langhorne 20 yard rush (Matt Bahr kick),10,21
5,4.0,Browns,Ozzie Newsome 4 yard pass from Bernie Kosar (Matt Bahr kick),17,21
6,4.0,Oilers,Tony Zendejas 47 yard field goal,17,24
