,Quarter,Tm,Detail,PHI,HOU
0,1.0,Eagles,Ron Jaworski 4 yard rush,6,0
1,1.0,Eagles,Tony Franklin 22 yard field goal,9,0
2,2.0,Oilers,Earl Campbell 6 yard rush (Toni Fritsch kick),9,7
3,2.0,Eagles,Tony Franklin 41 yard field goal,12,7
4,2.0,Oilers,Toni Fritsch 44 yard field goal,12,10
5,3.0,Eagles,Leroy Harris 1 yard rush (Tony Franklin kick),19,10
6,4.0,Oilers,Mike Renfro 7 yard pass from Dan Pastorini (Toni Fritsch kick),19,17
7,4.0,Eagles,Scott Fitzkee 4 yard pass from John Walton (Tony Franklin kick),26,17
8,4.0,Oilers,Toni Fritsch 37 yard field goal,26,20
