,Quarter,Tm,Detail,PHI,NOR
0,1.0,Saints,Eric Martin 17 yard pass from John Fourcade (Morten Andersen kick),0,7
1,2.0,Saints,Dalton Hilliard 35 yard pass from John Fourcade (Morten Andersen kick),0,14
2,2.0,Eagles,Ron Johnson 13 yard pass from Randall Cunningham (Roger Ruzek kick),7,14
3,2.0,Eagles,Roger Ruzek 21 yard field goal,10,14
4,2.0,Saints,"Safety, Warren tackled Cunningham in end zone",10,16
5,3.0,Eagles,Dave Little 1 yard pass from Randall Cunningham (Roger Ruzek kick),17,16
6,3.0,Eagles,Roger Ruzek 19 yard field goal,20,16
7,4.0,Saints,Eric Martin 20 yard pass from John Fourcade (Morten Andersen kick),20,23
8,4.0,Saints,Buford Jordan 1 yard rush (Morten Andersen kick),20,30
