,Quarter,Time,Tm,Detail,SDG,KAN
0,2.0,1:53,Chiefs,Albert Wilson 44 yard pass from Alex Smith (Cairo Santos kick),0,7
1,2.0,0:02,Chiefs,Cairo Santos 40 yard field goal,0,10
2,3.0,5:47,Chargers,Josh Lambo 30 yard field goal,3,10
