,Quarter,Tm,Detail,WAS,CRD
0,1.0,Cardinals,Max Boydston 39 yard pass from Lamar McHan (Pat Summerall kick),0,7
1,1.0,Cardinals,Johnny Olszewski 7 yard rush (Pat Summerall kick),0,14
2,2.0,Redskins,Sam Baker 22 yard field goal,3,14
3,3.0,Redskins,Dick James 34 yard pass from Al Dorow (Sam Baker kick),10,14
4,3.0,Redskins,Steve Meilinger 40 yard pass from Al Dorow (Sam Baker kick),17,14
