,Quarter,Tm,Detail,GNB,PIT
0,1.0,Packers,Paul Hornung 35 yard field goal,3,0
1,1.0,Packers,Paul Hornung 35 yard field goal,6,0
2,1.0,Packers,Paul Hornung 45 yard field goal,9,0
3,2.0,Packers,Paul Hornung 17 yard field goal,12,0
4,2.0,Steelers,Tom Tracy 37 yard pass from Bobby Layne (Bobby Layne kick),12,7
5,4.0,Steelers,Buddy Dial 48 yard pass from Bobby Layne (pass failed),12,13
6,4.0,Packers,Jim Taylor 1 yard rush (Paul Hornung kick),19,13
