,Quarter,Tm,Detail,MIN,STL
0,1.0,Cardinals,Steve Little 42 yard field goal,0,3
1,2.0,Cardinals,Ottis Anderson 34 yard rush (Steve Little kick),0,10
2,2.0,Vikings,Sammy White 14 yard pass from Tommy Kramer (Rick Danmeier kick),7,10
3,3.0,Cardinals,Roger Wehrli 9 yard interception return (Steve Little kick),7,17
4,3.0,Cardinals,Ottis Anderson 8 yard pass from Jim Hart (Steve Little kick),7,24
5,4.0,Cardinals,Wayne Morris 1 yard rush,7,30
6,4.0,Cardinals,Rod Phillips 16 yard rush (Steve Little kick),7,37
