,Quarter,Tm,Detail,MIL,CAN
0,1.0,Bulldogs,Doc Elliott unknown yard rush (Bird Carroll kick),0,7
1,1.0,Bulldogs,Guy Chamberlin 20 yard rush,0,13
2,2.0,Bulldogs,Ed Shaw 5 yard rush (Ed Shaw kick),0,20
3,2.0,Bulldogs,Lou Smyth unknown yard rush,0,26
4,2.0,Bulldogs,Ed Shaw 1 yard rush (Ed Shaw kick),0,33
5,3.0,Badgers,Bo McMillin 4 yard pass from Jimmy Conzelman,6,33
6,4.0,Bulldogs,Guy Chamberlin unknown yard rush (Ed Shaw kick),6,40
