,Quarter,Tm,Detail,CHI,MIN
0,1.0,Vikings,Ted Brown 8 yard rush (Rick Danmeier kick),0,7
1,1.0,Vikings,Rick Danmeier 43 yard field goal,0,10
2,2.0,Vikings,Ahmad Rashad 15 yard pass from Tommy Kramer (Rick Danmeier kick),0,17
3,2.0,Bears,Brian Baschnagel 16 yard pass from Vince Evans (Hans Nielsen kick),7,17
4,3.0,Bears,Vince Evans 4 yard rush (Hans Nielsen kick),14,17
5,3.0,Vikings,Joe Senser 11 yard pass from Tommy Kramer (Rick Danmeier kick),14,24
6,4.0,Bears,Brian Baschnagel 7 yard pass from Vince Evans (Hans Nielsen kick),21,24
