,Quarter,Time,Tm,Detail,NOR,GNB
0,1.0,8:51,Saints,John Carney 33 yard field goal,3,0
1,1.0,2:24,Packers,Najeh Davenport 1 yard rush (Ryan Longwell kick),3,7
2,1.0,0:57,Packers,Al Harris 22 yard interception return (Ryan Longwell kick),3,14
3,2.0,8:50,Packers,Najeh Davenport 4 yard rush (Ryan Longwell kick),3,21
4,2.0,6:42,Packers,Robert Ferguson 25 yard pass from Brett Favre (Ryan Longwell kick),3,28
5,2.0,0:24,Packers,David Martin 1 yard pass from Brett Favre (Ryan Longwell kick),3,35
6,3.0,11:24,Packers,Donald Lee 26 yard pass from Brett Favre (Ryan Longwell kick),3,42
7,3.0,3:37,Packers,Ryan Longwell 26 yard field goal,3,45
8,4.0,8:19,Packers,Nick Barnett 95 yard interception return (Ryan Longwell kick),3,52
