,Quarter,Time,Tm,Detail,CLE,NYJ
0,1.0,14:21,Jets,Santana Moss 63 yard punt return (John Hall kick),0,7
1,1.0,8:12,Browns,Phil Dawson 23 yard field goal,3,7
2,1.0,5:57,Jets,Laveranues Coles 37 yard pass from Chad Pennington (John Hall kick),3,14
3,2.0,14:23,Jets,Wayne Chrebet 8 yard pass from Chad Pennington (John Hall kick),3,21
4,2.0,7:29,Browns,Phil Dawson 26 yard field goal,6,21
5,3.0,4:40,Browns,Mark Campbell 5 yard pass from Tim Couch (Phil Dawson kick),13,21
6,3.0,0:09,Browns,Andre' Davis 4 yard pass from Tim Couch (Dennis Northcutt pass from Tim Couch),21,21
7,4.0,3:30,Browns,Phil Dawson 35 yard field goal,24,21
