,Quarter,Tm,Detail,SFO,PHI
0,1.0,Eagles,Horst Muhlmann 51 yard field goal,0,3
1,2.0,Eagles,Horst Muhlmann 42 yard field goal,0,6
2,2.0,Eagles,James McAlister 5 yard pass from Mike Boryla (Horst Muhlmann kick),0,13
3,3.0,49ers,Steve Mike-Mayer 20 yard field goal,3,13
4,3.0,Eagles,Harold Carmichael 11 yard pass from Mike Boryla (Horst Muhlmann kick),3,20
5,4.0,49ers,Sammy Johnson 3 yard rush (Steve Mike-Mayer kick),10,20
6,4.0,Eagles,Charle Young 42 yard pass from Mike Boryla (Horst Muhlmann kick),10,27
7,4.0,49ers,Gene Washington 17 yard pass from Norm Snead (Steve Mike-Mayer kick),17,27
