,Quarter,Time,Tm,Detail,WAS,CHI
0,1.0,,Redskins,James Jenkins 9 yard pass from Gus Frerotte (Scott Blanton kick),7,0
1,1.0,,Redskins,Larry Bowie 5 yard rush (Scott Blanton kick),14,0
2,2.0,,Redskins,Gus Frerotte 1 yard rush (Scott Blanton kick),21,0
3,2.0,,Redskins,Scott Blanton 38 yard field goal,24,0
4,3.0,,Redskins,Leslie Shepherd 39 yard pass from Gus Frerotte (Scott Blanton kick),31,0
5,4.0,,Bears,Ricky Proehl 2 yard pass from Erik Kramer (Ricky Proehl pass from Erik Kramer),31,8
