,Quarter,Time,Tm,Detail,MIA,BUF
0,1.0,12:12,Bills,Robert Royal 13 yard pass from Trent Edwards (Rian Lindell kick),0,7
1,1.0,5:25,Bills,Robert Royal 28 yard pass from Trent Edwards (Rian Lindell kick),0,14
2,1.0,4:35,Bills,George Wilson 20 yard defensive fumble return (Rian Lindell kick),0,21
3,1.0,3:37,Dolphins,Samkon Gado 12 yard rush (Jay Feely kick),7,21
4,1.0,0:14,Bills,Rian Lindell 51 yard field goal,7,24
5,2.0,9:33,Bills,Lee Evans 9 yard pass from Trent Edwards (Rian Lindell kick),7,31
6,3.0,11:25,Dolphins,Samkon Gado 20 yard rush (Jay Feely kick),14,31
7,3.0,6:30,Dolphins,Jay Feely 41 yard field goal,17,31
8,4.0,12:46,Bills,Lee Evans 70 yard pass from Trent Edwards (Rian Lindell kick),17,38
