,Quarter,Time,Tm,Detail,PHI,NOR
0,1.0,8:56,Saints,John Carney 39 yard field goal,0,3
1,1.0,0:19,Saints,Joe Horn 14 yard pass from Drew Brees (John Carney kick),0,10
2,2.0,3:03,Eagles,David Akers 47 yard field goal,3,10
3,2.0,0:15,Saints,Marques Colston 7 yard pass from Drew Brees (John Carney kick),3,17
4,3.0,13:20,Eagles,Reggie Brown 60 yard pass from Donovan McNabb (David Akers kick),10,17
5,3.0,1:03,Eagles,L.J. Smith 4 yard pass from Donovan McNabb (David Akers kick),17,17
6,4.0,14:54,Eagles,Reggie Brown 15 yard rush (David Akers kick),24,17
7,4.0,12:52,Saints,Joe Horn 48 yard pass from Drew Brees (John Carney kick),24,24
8,4.0,0:00,Saints,John Carney 31 yard field goal,24,27
