,Quarter,Tm,Detail,MIN,BUF
0,1.0,Vikings,"Safety, Mullaney tackled Moore in end zone",2,0
1,2.0,Vikings,Bob Bruer 22 yard pass from Tommy Kramer (Rick Danmeier kick),9,0
2,2.0,Vikings,Bob Bruer 2 yard pass from Tommy Kramer (Rick Danmeier kick),16,0
3,2.0,Vikings,Rick Danmeier 43 yard field goal,19,0
4,2.0,Bills,Frank Lewis 6 yard pass from Joe Ferguson (Nick Mike-Mayer kick),19,7
5,3.0,Bills,Jerry Butler 4 yard pass from Joe Ferguson,19,13
6,3.0,Vikings,Rick Danmeier 42 yard field goal,22,13
7,4.0,Bills,Nick Mike-Mayer 21 yard field goal,22,16
8,4.0,Bills,Jerry Butler 11 yard pass from Joe Ferguson (Nick Mike-Mayer kick),22,23
