,Quarter,Tm,Detail,CLE,WAS
0,1.0,Browns,Lou Groza 48 yard field goal,3,0
1,2.0,Browns,Ray Renfro 37 yard pass from Jim Brown (Lou Groza kick),10,0
2,3.0,Redskins,Don Bosseler 1 yard rush,10,6
3,3.0,Browns,Rich Kreitling 9 yard pass from Milt Plum (Lou Groza kick),17,6
