,Quarter,Time,Tm,Detail,PHI,NYG
0,1.0,,Giants,Rodney Hampton 1 yard rush (David Treadwell kick),0,7
1,1.0,,Giants,Dave Meggett 68 yard punt return (David Treadwell kick),0,14
2,2.0,,Eagles,Eddie Murray 21 yard field goal,3,14
3,2.0,,Giants,Chris Calloway 51 yard pass from Dave Brown (David Treadwell kick),3,21
4,2.0,,Eagles,Mark Bavaro 3 yard pass from Randall Cunningham (Eddie Murray kick),10,21
5,3.0,,Eagles,Eddie Murray 39 yard field goal,13,21
6,3.0,,Giants,Dave Meggett 26 yard rush (David Treadwell kick),13,28
7,4.0,,Eagles,Eddie Murray 36 yard field goal,16,28
8,4.0,,Eagles,Calvin Williams 10 yard pass from Randall Cunningham (Eddie Murray kick),23,28
