,Quarter,Tm,Detail,PIT,BAL
0,1.0,Colts,Toni Linhart 24 yard field goal,0,3
1,2.0,Colts,Roosevelt Leaks 26 yard pass from Bert Jones (Toni Linhart kick),0,10
2,2.0,Colts,Lydell Mitchell 13 yard pass from Bert Jones (Toni Linhart kick),0,17
3,3.0,Colts,Ron Lee 25 yard rush (Toni Linhart kick),0,24
4,3.0,Steelers,Lynn Swann 32 yard pass from Terry Bradshaw (Roy Gerela kick),7,24
5,4.0,Colts,Bert Jones 6 yard rush (Toni Linhart kick),7,31
6,4.0,Steelers,Franco Harris 11 yard rush (Roy Gerela kick),14,31
7,4.0,Steelers,Franco Harris 3 yard rush (Roy Gerela kick),21,31
