,Quarter,Tm,Detail,CHI,PIT
0,2.0,Bears,Red Pollock 13 yard pass from Bernie Masterson (Jack Manders kick),7,0
1,2.0,Bears,Luke Johnsos 18 yard pass from Keith Molesworth (Jack Manders kick),14,0
2,2.0,Bears,Luke Johnsos 13 yard pass from Bob Dunlap,20,0
3,2.0,Bears,Joe Kopcha 26 yard field goal,23,0
4,3.0,Pirates,Cy Casper unknown yard touchdown on a lateral (Armand Niccolai kick),23,7
