,Quarter,Tm,Detail,CHI,NOR
0,1.0,Saints,Floyd Turner 65 yard pass from Bobby Hebert (Morten Andersen kick),0,7
1,2.0,Bears,Kevin Butler 34 yard field goal,3,7
2,2.0,Bears,Kevin Butler 48 yard field goal,6,7
3,2.0,Saints,Morten Andersen 60 yard field goal,6,10
4,3.0,Bears,Brad Muster 6 yard rush (Kevin Butler kick),13,10
5,3.0,Saints,Floyd Turner 8 yard pass from Bobby Hebert (Morten Andersen kick),13,17
6,4.0,Bears,Tom Waddle 12 yard pass from Jim Harbaugh (Kevin Butler kick),20,17
