,Quarter,Tm,Detail,PHI,WAS
0,1.0,Redskins,Art Monk 17 yard pass from Joe Theismann (Mark Moseley kick),0,7
1,2.0,Eagles,Hubie Oliver 2 yard pass from Ron Jaworski (Tony Franklin kick),7,7
2,2.0,Redskins,John Riggins 2 yard rush (Mark Moseley kick),7,14
3,2.0,Eagles,Mike Quick 17 yard pass from Ron Jaworski (Tony Franklin kick),14,14
4,2.0,Redskins,John Riggins 2 yard rush (Mark Moseley kick),14,21
5,2.0,Redskins,Charlie Brown 75 yard pass from Joe Theismann (Mark Moseley kick),14,28
6,2.0,Eagles,Mike Quick 3 yard pass from Ron Jaworski (Tony Franklin kick),21,28
7,3.0,Eagles,Tony Franklin 52 yard field goal,24,28
