,Quarter,Tm,Detail,CIN,HOU
0,1.0,Oilers,Larry Moriarty 1 yard rush (Florian Kempf kick),0,7
1,2.0,Bengals,Larry Kinnebrew 1 yard rush (Jim Breech kick),7,7
2,2.0,Bengals,Larry Kinnebrew 3 yard rush (Jim Breech kick),14,7
3,2.0,Bengals,Jim Breech 34 yard field goal,17,7
4,3.0,Bengals,Larry Kinnebrew 11 yard pass from Ken Anderson (Jim Breech kick),24,7
5,4.0,Bengals,Larry Kinnebrew 1 yard rush (Jim Breech kick),31,7
6,4.0,Oilers,Oliver Luck 4 yard rush (pass failed),31,13
