,Quarter,Tm,Detail,PHI,SEA
0,1.0,Seahawks,Efren Herrera 21 yard field goal,0,3
1,1.0,Seahawks,Efren Herrera 31 yard field goal,0,6
2,2.0,Eagles,Billy Campfield 1 yard rush (Tony Franklin kick),7,6
3,3.0,Seahawks,Steve Largent 27 yard pass from Jim Zorn (Efren Herrera kick),7,13
4,3.0,Eagles,Charlie Smith 15 yard pass from Ron Jaworski (Tony Franklin kick),14,13
5,3.0,Eagles,Tony Franklin 39 yard field goal,17,13
6,4.0,Seahawks,Dan Doornink 9 yard rush (Efren Herrera kick),17,20
7,4.0,Eagles,Billy Campfield 5 yard pass from Ron Jaworski (Tony Franklin kick),24,20
8,4.0,Eagles,Tony Franklin 25 yard field goal,27,20
