,Quarter,Tm,Detail,CIN,PIT
0,1.0,Steelers,Matt Bahr 43 yard field goal,0,3
1,1.0,Steelers,Lynn Swann 58 yard pass from Terry Bradshaw (Matt Bahr kick),0,10
2,2.0,Steelers,Franco Harris 1 yard rush (Matt Bahr kick),0,17
3,2.0,Bengals,Chris Bahr 46 yard field goal,3,17
4,2.0,Steelers,Rocky Bleier 1 yard rush (Matt Bahr kick),3,24
5,2.0,Bengals,Isaac Curtis 29 yard pass from Ken Anderson (Chris Bahr kick),10,24
6,3.0,Bengals,Isaac Curtis 32 yard pass from Ken Anderson (Chris Bahr kick),17,24
7,3.0,Steelers,Lynn Swann 42 yard pass from Terry Bradshaw (Matt Bahr kick),17,31
8,3.0,Steelers,Matt Bahr 23 yard field goal,17,34
9,4.0,Steelers,Matt Bahr 32 yard field goal,17,37
