,Quarter,Tm,Detail,SFO,CHI
0,2.0,49ers,Tom Owen 1 yard rush,6,0
1,2.0,49ers,Terry Beasley 68 yard pass from Tom Owen (Bruce Gossett kick),13,0
2,2.0,49ers,Ted Kwalick 20 yard pass from Tom Owen (Bruce Gossett kick),20,0
3,3.0,49ers,Sammy Johnson 1 yard rush (Bruce Gossett kick),27,0
4,4.0,49ers,Delvin Williams 6 yard rush (Bruce Gossett kick),34,0
