,Quarter,Time,Tm,Detail,RAI,SDG
0,1.0,14:00,Raiders,Alexander Wright 76 yard pass from Jeff Hostetler (Jeff Jaeger kick),7,0
1,1.0,14:00,Chargers,Shawn Jefferson 29 yard pass from Stan Humphries (John Carney kick),7,7
2,2.0,14:00,Raiders,Rocket Ismail 6 yard pass from Vince Evans (Jeff Jaeger kick),14,7
3,2.0,14:00,Chargers,Tony Martin 16 yard pass from Gale Gilbert (John Carney kick),14,14
4,4.0,4:38,Raiders,Jeff Jaeger 43 yard field goal,17,14
5,4.0,4:38,Chargers,John Carney 24 yard field goal,17,17
6,4.0,4:38,Raiders,Rocket Ismail 6 yard pass from Jeff Hostetler (Jeff Jaeger kick),24,17
