,Quarter,Tm,Detail,SFO,ATL
0,2.0,49ers,John Taylor 97 yard pass from Steve Young (Mike Cofer kick),7,0
1,4.0,Falcons,Andre Rison 3 yard pass from Billy Joe Tolliver (Norm Johnson kick),7,7
2,4.0,Falcons,Norm Johnson 29 yard field goal,7,10
3,4.0,49ers,John Taylor 30 yard pass from Steve Bono (Mike Cofer kick),14,10
4,4.0,Falcons,Michael Haynes 44 yard pass from Billy Joe Tolliver (Norm Johnson kick),14,17
