,Quarter,Tm,Detail,MIA,CLE
0,1.0,Browns,Michael Jackson 14 yard pass from Bernie Kosar (Matt Stover kick),0,7
1,2.0,Dolphins,Pete Stoyanovich 52 yard field goal,3,7
2,2.0,Dolphins,Mark Ingram 13 yard pass from Dan Marino (Pete Stoyanovich kick),10,7
3,2.0,Browns,Najee Mustafaa 97 yard interception return (Matt Stover kick),10,14
4,3.0,Dolphins,Tony Martin 19 yard pass from Scott Mitchell (Pete Stoyanovich kick),17,14
5,3.0,Dolphins,Keith Jackson 3 yard pass from Scott Mitchell (Pete Stoyanovich kick),24,14
