,Quarter,Time,Tm,Detail,CHI,GNB
0,1.0,,Bears,Curtis Conway 21 yard pass from Erik Kramer (Kevin Butler kick),7,0
1,1.0,,Packers,Edgar Bennett 17 yard pass from Brett Favre (Chris Jacke kick),7,7
2,1.0,3:56,Packers,Robert Brooks 29 yard pass from Brett Favre (Chris Jacke kick),7,14
3,2.0,3:50,Bears,Rashaan Salaam 2 yard rush (Kevin Butler kick),14,14
4,2.0,3:50,Packers,Dorsey Levens 1 yard pass from Brett Favre (Chris Jacke kick),14,21
5,2.0,3:50,Bears,Curtis Conway 46 yard pass from Erik Kramer (Kevin Butler kick),21,21
6,3.0,3:50,Bears,Rashaan Salaam 1 yard rush (Kevin Butler kick),28,21
7,3.0,3:50,Packers,Robert Brooks 44 yard pass from Brett Favre (Chris Jacke kick),28,28
8,4.0,3:50,Packers,Edgar Bennett 16 yard pass from Brett Favre (Chris Jacke kick),28,35
