,Quarter,Tm,Detail,TAM,RAM
0,1.0,Rams,Frank Corral 29 yard field goal,0,3
1,2.0,Rams,Nolan Cromwell 16 yard rush (Frank Corral kick),0,10
2,2.0,Buccaneers,Neil O'Donoghue 42 yard field goal,3,10
3,2.0,Rams,Billy Waddy 68 yard pass from Pat Haden (Frank Corral kick),3,17
4,2.0,Buccaneers,Neil O'Donoghue 25 yard field goal,6,17
5,3.0,Buccaneers,Neil O'Donoghue 30 yard field goal,9,17
6,3.0,Rams,Frank Corral 27 yard field goal,9,20
7,4.0,Buccaneers,Ricky Bell 1 yard rush (Neil O'Donoghue kick),16,20
8,4.0,Rams,Frank Corral 32 yard field goal,16,23
9,4.0,Buccaneers,John McKay 23 yard pass from Mike Rae (Neil O'Donoghue kick),23,23
10,4.0,Rams,Frank Corral 27 yard field goal,23,26
