,Quarter,Tm,Detail,SFO,DET
0,1.0,49ers,Johnny Strzykalski 1 yard rush,6,0
1,2.0,Lions,Doak Walker 23 yard field goal,6,3
2,3.0,49ers,Bill Jessup 23 yard pass from Y.A. Tittle (Gordie Soltau kick),13,3
3,3.0,Lions,Dorne Dibble 30 yard pass from Bobby Layne (Doak Walker kick),13,10
4,4.0,49ers,Joe Arenas 12 yard pass from Y.A. Tittle (Gordie Soltau kick),20,10
