,Quarter,Time,Tm,Detail,NWE,PHI
0,1.0,14:10,Eagles,Norm Johnson 43 yard field goal,0,3
1,1.0,3:34,Eagles,Torrance Small 50 yard pass from Koy Detmer (Norm Johnson kick),0,10
2,2.0,14:57,Patriots,Adam Vinatieri 23 yard field goal,3,10
3,2.0,3:41,Patriots,Adam Vinatieri 43 yard field goal,6,10
4,2.0,3:02,Eagles,Torrance Small 11 yard pass from Koy Detmer (Norm Johnson kick),6,17
5,3.0,10:17,Patriots,Adam Vinatieri 46 yard field goal,9,17
6,3.0,1:08,Eagles,Dietrich Jells 44 yard pass from Koy Detmer (Norm Johnson kick),9,24
