,Quarter,Tm,Detail,GNB,STL
0,1.0,Packers,Joe Laws 20 yard pass from Arnie Herber (Clarke Hinkle kick),7,0
1,2.0,Packers,Roger Grove unknown yard pass from Bob Monnett (Clarke Hinkle kick),14,0
2,3.0,Gunners,Swede Johnston unknown yard rush (Gene Alford kick),14,7
3,4.0,Packers,Clarke Hinkle 1 yard rush (Clarke Hinkle kick),21,7
4,4.0,Gunners,Red Corzine 8 yard rush (Gene Alford kick),21,14
