,Quarter,Tm,Detail,NOR,PHI
0,1.0,Eagles,Herschel Walker 2 yard pass from Randall Cunningham,0,6
1,1.0,Saints,Morten Andersen 39 yard field goal,3,6
2,2.0,Saints,Morten Andersen 31 yard field goal,6,6
3,2.0,Eagles,Roger Ruzek 18 yard field goal,6,9
4,4.0,Eagles,Fred Barnett 20 yard pass from Randall Cunningham,6,15
5,4.0,Saints,Wesley Carroll 10 yard pass from Bobby Hebert (Morten Andersen kick),13,15
