,Quarter,Tm,Detail,SEA,DEN
0,1.0,Broncos,Riley Odoms 2 yard pass from Craig Morton (Fred Steinfort kick),0,7
1,2.0,Seahawks,Efren Herrera 21 yard field goal,3,7
2,2.0,Seahawks,Will Lewis 75 yard punt return (Efren Herrera kick),10,7
3,2.0,Broncos,Fred Steinfort 24 yard field goal,10,10
4,2.0,Broncos,Craig Morton 1 yard rush (Fred Steinfort kick),10,17
5,3.0,Broncos,Fred Steinfort 33 yard field goal,10,20
6,4.0,Seahawks,Efren Herrera 20 yard field goal,13,20
7,4.0,Broncos,Haven Moses 27 yard pass from Craig Morton (Fred Steinfort kick),13,27
8,4.0,Broncos,Don Latimer 15 yard interception return (Fred Steinfort kick),13,34
9,4.0,Broncos,"Safety, Jones tackled Zorn in end zone",13,36
10,4.0,Seahawks,Lawrence McCutcheon 5 yard pass from Sam Adkins (Efren Herrera kick),20,36
