,Quarter,Tm,Detail,HOU,BAL
0,1.0,Oilers,Florian Kempf 34 yard field goal,3,0
1,1.0,Colts,Raul Allegre 48 yard field goal,3,3
2,2.0,Colts,Kim Anderson 71 yard interception return (Raul Allegre kick),3,10
3,3.0,Colts,Raul Allegre 37 yard field goal,3,13
4,4.0,Oilers,Chris Dressel 7 yard pass from Oliver Luck (Florian Kempf kick),10,13
5,4.0,Colts,Pat Beach 12 yard pass from Mike Pagel (Raul Allegre kick),10,20
