,Quarter,Tm,Detail,CIN,CLE
0,1.0,Bengals,Ostell Miles 4 yard rush (Doug Pelfrey kick),7,0
1,1.0,Bengals,Carl Pickens 5 yard pass from David Klingler (Doug Pelfrey kick),14,0
2,2.0,Browns,Michael Jackson 13 yard pass from Bernie Kosar (Matt Stover kick),14,7
3,2.0,Browns,Tommy Vardell 1 yard rush (Matt Stover kick),14,14
4,3.0,Browns,Matt Stover 28 yard field goal,14,17
5,3.0,Browns,Matt Stover 34 yard field goal,14,20
6,4.0,Browns,Stevon Moore 22 yard defensive fumble return (Matt Stover kick),14,27
