,Quarter,Tm,Detail,PRT,CRD
0,1.0,Spartans,Dutch Clark 5 yard rush (Glenn Presnell kick),7,0
1,2.0,Cardinals,Bunny Belden 7 yard rush (Ernie Nevers kick),7,7
2,2.0,Cardinals,Ernie Nevers 1 yard rush,7,13
3,3.0,Spartans,Dutch Clark 39 yard rush,13,13
4,4.0,Cardinals,Ernie Nevers 1 yard rush (Ernie Nevers kick),13,20
5,4.0,Spartans,Bill McKalip 11 yard pass from Dutch Clark,19,20
