,Quarter,Tm,Detail,NYJ,BUF
0,1.0,Bills,Joe Ferguson 1 yard rush (John Leypoldt kick),0,7
1,2.0,Bills,John Leypoldt 21 yard field goal,0,10
2,2.0,Jets,John Riggins 13 yard rush,6,10
3,3.0,Jets,Bobby Howfield 31 yard field goal,9,10
4,3.0,Jets,Bobby Howfield 40 yard field goal,12,10
5,4.0,Bills,Jim Braxton 21 yard rush,12,16
