,Quarter,Tm,Detail,NYG,CRD
0,2.0,Giants,Ray Poole 12 yard field goal,3,0
1,3.0,Cardinals,Bob Shaw 31 yard pass from Jim Hardy (Vinnie Yablonski kick),3,7
2,3.0,Cardinals,Vinnie Yablonski 15 yard rush (Vinnie Yablonski kick),3,14
3,4.0,Cardinals,Vinnie Yablonski 17 yard field goal,3,17
