,Quarter,Tm,Detail,SEA,CIN
0,1.0,Seahawks,Byron Walker 28 yard pass from Dave Krieg (Norm Johnson kick),7,0
1,2.0,Bengals,James Brooks 15 yard rush (Jim Breech kick),7,7
2,2.0,Seahawks,Daryl Turner 6 yard pass from Dave Krieg (Norm Johnson kick),14,7
3,2.0,Seahawks,Charle Young 19 yard pass from Dave Krieg (Norm Johnson kick),21,7
4,2.0,Bengals,Jim Breech 22 yard field goal,21,10
5,3.0,Bengals,James Brooks 17 yard pass from Turk Schonert (Jim Breech kick),21,17
6,3.0,Bengals,Larry Kinnebrew 9 yard rush (Jim Breech kick),21,24
7,4.0,Seahawks,Curt Warner 11 yard rush (Norm Johnson kick),28,24
