,Quarter,Time,Tm,Detail,PIT,KAN
0,2.0,9:49,Steelers,Kris Brown 42 yard field goal,3,0
1,2.0,2:10,Steelers,Kris Brown 55 yard field goal,6,0
2,2.0,0:40,Chiefs,"Safety,",6,2
3,3.0,12:45,Steelers,Chad Scott 61 yard interception return (Kris Brown kick),13,2
4,3.0,0:52,Steelers,Hines Ward 5 yard pass from Kordell Stewart (Kris Brown kick),20,2
5,4.0,13:02,Chiefs,Priest Holmes 26 yard rush (Todd Peterson kick),20,9
6,4.0,2:39,Chiefs,Priest Holmes 1 yard rush (Tony Gonzalez pass from Trent Green),20,17
