,Quarter,Tm,Detail,LOU,CAN
0,1.0,Bulldogs,Bird Carroll 37 yard pass from Lou Smyth,0,6
1,1.0,Bulldogs,Wooky Roberts 21 yard rush (Pete Henry kick),0,13
2,2.0,Bulldogs,Guy Chamberlin 42 yard pass from Tex Grigg (extra point pass successful),0,20
3,2.0,Bulldogs,Pete Henry 32 yard field goal,0,23
4,3.0,Bulldogs,Lou Smyth unknown yard rush (Pete Henry kick),0,30
5,4.0,Bulldogs,Pete Henry unknown yard pass from Lou Smyth (Pete Henry kick),0,37
