,Quarter,Time,Tm,Detail,MIA,BAL
0,1.0,10:57,Ravens,Terrance West 3 yard pass from Joe Flacco (Justin Tucker kick),0,7
1,1.0,3:17,Ravens,Dennis Pitta 13 yard pass from Joe Flacco (Justin Tucker kick),0,14
2,2.0,2:10,Ravens,Dennis Pitta 9 yard pass from Joe Flacco (Justin Tucker kick),0,21
3,2.0,0:00,Ravens,Justin Tucker 55 yard field goal,0,24
4,4.0,14:42,Dolphins,DeVante Parker 8 yard pass from Ryan Tannehill (pass failed),6,24
5,4.0,12:49,Ravens,Breshad Perriman 53 yard pass from Joe Flacco (Justin Tucker kick),6,31
6,4.0,5:55,Ravens,Terrance West 9 yard rush (Justin Tucker kick),6,38
