,Quarter,Time,Tm,Detail,ARI,ATL
0,1.0,6:50,Falcons,Terance Mathis 23 yard pass from Chris Chandler (Morten Andersen kick),0,7
1,2.0,14:10,Cardinals,Mario Bates 1 yard rush (Chris Jacke kick),7,7
2,2.0,8:18,Cardinals,Mario Bates 1 yard rush (Chris Jacke kick),14,7
3,2.0,4:39,Falcons,Bob Christian 1 yard rush (Morten Andersen kick),14,14
4,2.0,0:42,Falcons,Morten Andersen 28 yard field goal,14,17
5,2.0,0:00,Falcons,Morten Andersen 24 yard field goal,14,20
6,3.0,4:39,Falcons,Byron Hanspard 1 yard rush (Morten Andersen kick),14,27
7,4.0,10:06,Falcons,Bob Christian 33 yard rush (Morten Andersen kick),14,34
8,4.0,3:03,Falcons,Morten Andersen 41 yard field goal,14,37
