,Quarter,Tm,Detail,STL,PHI
0,1.0,Eagles,Sam Baker 21 yard field goal,0,3
1,1.0,Cardinals,Jim Bakken 29 yard field goal,3,3
2,2.0,Eagles,Sam Baker 9 yard field goal,3,6
3,2.0,Cardinals,John David Crow 1 yard rush (Jim Bakken kick),10,6
4,2.0,Cardinals,Bobby Joe Conrad 33 yard pass from Charley Johnson (Jim Bakken kick),17,6
5,3.0,Eagles,Mike Morgan defensive fumble recovery in end zone (Sam Baker kick),17,13
6,3.0,Cardinals,Bobby Joe Conrad 52 yard pass from Charley Johnson (Jim Bakken kick),24,13
7,4.0,Cardinals,Larry Wilson 42 yard interception return (Jim Bakken kick),31,13
8,4.0,Cardinals,Bill Thornton 31 yard rush (Jim Bakken kick),38,13
