,Quarter,Tm,Detail,CHI,ATL
0,2.0,Bears,Carl Garrett 15 yard rush,6,0
1,2.0,Falcons,Dave Hampton 24 yard rush (Nick Mike-Mayer kick),6,7
2,2.0,Falcons,Nick Mike-Mayer 23 yard field goal,6,10
3,2.0,Falcons,Ken Burrow 41 yard pass from Bob Lee (Nick Mike-Mayer kick),6,17
4,3.0,Falcons,Dave Hampton 2 yard rush (Nick Mike-Mayer kick),6,24
5,3.0,Falcons,Art Malone 3 yard pass from Bob Lee (Nick Mike-Mayer kick),6,31
6,3.0,Falcons,Joe Profit 5 yard rush (Nick Mike-Mayer kick),6,38
7,4.0,Falcons,Nick Mike-Mayer 32 yard field goal,6,41
8,4.0,Falcons,Nick Mike-Mayer 33 yard field goal,6,44
9,4.0,Falcons,"Safety, Green tackled by Plummer in end zone",6,46
