,Quarter,Tm,Detail,MIN,NYJ
0,1.0,Jets,George Nock 15 yard rush (Jim Turner kick),0,7
1,2.0,Jets,Jim Turner 35 yard field goal,0,10
2,2.0,Vikings,Fred Cox 43 yard field goal,3,10
3,3.0,Jets,George Sauer 21 yard pass from Al Woodall (Jim Turner kick),3,17
4,4.0,Vikings,Jim Lindsey 22 yard pass from Bob Lee (Fred Cox kick),10,17
5,4.0,Jets,Jim Turner 20 yard field goal,10,20
