,Quarter,Tm,Detail,WAS,SFO
0,1.0,49ers,John Taylor 5 yard pass from Steve Young (Mike Cofer kick),0,7
1,1.0,Redskins,Chip Lohmiller 19 yard field goal,3,7
2,2.0,49ers,Mike Cofer 23 yard field goal,3,10
3,2.0,49ers,Brent Jones 16 yard pass from Steve Young (Mike Cofer kick),3,17
4,3.0,Redskins,Chip Lohmiller 32 yard field goal,6,17
5,4.0,Redskins,Mark Rypien 1 yard rush (Chip Lohmiller kick),13,17
6,4.0,49ers,Mike Cofer 33 yard field goal,13,20
