,Quarter,Tm,Detail,NYG,GNB
0,1.0,Packers,Ted Fritsch 24 yard field goal,0,3
1,2.0,Giants,Gene Roberts 9 yard pass from Charlie Conerly (Len Younce kick),7,3
2,2.0,Giants,Bruce Gehrke 3 yard pass from Charlie Conerly (Len Younce kick),14,3
3,2.0,Giants,Emlen Tunnell 43 yard interception return (Len Younce kick),21,3
4,3.0,Giants,Bill Swiacki 31 yard pass from Charlie Conerly (Len Younce kick),28,3
5,3.0,Giants,Charlie Conerly 1 yard rush (Len Younce kick),35,3
6,4.0,Giants,Ray Coates 2 yard rush (Len Younce kick),42,3
7,4.0,Giants,Ray Coates 3 yard rush (Len Younce kick),49,3
