,Quarter,Tm,Detail,DET,CRD
0,1.0,Lions,Dutch Clark 18 yard rush (Dutch Clark kick),7,0
1,2.0,Lions,Glenn Presnell 34 yard field goal,10,0
2,3.0,Lions,Glenn Presnell 9 yard rush (Glenn Presnell kick),17,0
3,4.0,Cardinals,Doug Russell 77 yard rush,17,6
4,4.0,Cardinals,Bill Smith 21 yard pass from Phil Sarboe (Bill Smith kick),17,13
