,Quarter,Tm,Detail,MIN,RAI
0,1.0,Raiders,Tim Brown 17 yard pass from Jeff Hostetler (Jeff Jaeger kick),0,7
1,2.0,Raiders,Greg Robinson 1 yard rush (Jeff Jaeger kick),0,14
2,2.0,Raiders,Terry McDaniel 36 yard interception return (Jeff Jaeger kick),0,21
3,4.0,Raiders,Jeff Jaeger 21 yard field goal,0,24
4,4.0,Vikings,Roger Craig 1 yard rush (Fuad Reveiz kick),7,24
