,Quarter,Tm,Detail,DET,BUF
0,2,Bills,Andre Reed 7 yard pass from Frank Reich (Scott Norwood kick),0,7
1,4,Lions,Barry Sanders 1 yard rush (Eddie Murray kick),7,7
2,4,Lions,Sheldon White 18 yard interception return (Eddie Murray kick),14,7
3,4,Bills,Steve Tasker 20 yard pass from Frank Reich (Scott Norwood kick),14,14
4,OT,Lions,Eddie Murray 21 yard field goal,17,14
