,Quarter,Tm,Detail,RAM,STL
0,1.0,Cardinals,Jim Bakken 41 yard field goal,0,3
1,2.0,Cardinals,Donny Anderson 1 yard rush (Jim Bakken kick),0,10
2,2.0,Cardinals,Norm Thompson 58 yard defensive fumble return (Jim Bakken kick),0,17
3,3.0,Rams,Les Josephson 11 yard pass from Roman Gabriel (David Ray kick),7,17
4,3.0,Rams,Jim Bertelsen 12 yard pass from Roman Gabriel (David Ray kick),14,17
5,4.0,Cardinals,Walker Gillette 30 yard pass from Jim Hart (Jim Bakken kick),14,24
