,Quarter,Time,Tm,Detail,CHI,MIA
0,1,,Bears,Raymont Harris 1 yard rush (Jeff Jaeger kick),7,0
1,1,,Dolphins,Jerris McPhail 71 yard rush (Olindo Mare kick),7,7
2,2,,Bears,Jeff Jaeger 39 yard field goal,10,7
3,2,,Bears,"Safety, Thierry sacked Marino in end zone",12,7
4,2,,Bears,Jeff Jaeger 23 yard field goal,15,7
5,2,,Dolphins,Jerris McPhail 10 yard pass from Dan Marino (pass failed),15,13
6,3,,Bears,Jeff Jaeger 47 yard field goal,18,13
7,3,,Dolphins,Terrell Buckley 22 yard defensive fumble return (pass failed),18,19
8,4,,Dolphins,Troy Drayton 22 yard pass from Dan Marino (Olindo Mare kick),18,26
9,4,,Dolphins,Karim Abdul-Jabbar 2 yard rush (Olindo Mare kick),18,33
10,4,,Bears,Bobby Engram 8 yard pass from Erik Kramer (Jeff Jaeger kick),25,33
11,4,,Bears,Chris Penn 25 yard pass from Erik Kramer (Bobby Engram pass from Erik Kramer),33,33
12,OT,,Bears,Jeff Jaeger 35 yard field goal,36,33
