,Quarter,Tm,Detail,CRD,PIT
0,1.0,Cardinals,Bob Shaw 7 yard pass from Jim Hardy (Pat Harder kick),7,0
1,2.0,Steelers,Fran Rogel 40 yard rush (Joe Geri kick),7,7
2,2.0,Steelers,Joe Geri 33 yard pass from Joe Gasparella (Joe Geri kick),7,14
3,3.0,Steelers,Jerry Nuzum 10 yard pass from Joe Geri (Joe Geri kick),7,21
4,4.0,Steelers,Bob Gage 48 yard pass from Joe Gasparella (Joe Geri kick),7,28
