,Quarter,Tm,Detail,BUF,NYG
0,1.0,Giants,Ottis Anderson 1 yard rush (Matt Bahr kick),0,7
1,1.0,Bills,Andre Reed 6 yard pass from Jim Kelly (Scott Norwood kick),7,7
2,2.0,Bills,Thurman Thomas 2 yard rush (Scott Norwood kick),14,7
3,2.0,Giants,Matt Bahr 23 yard field goal,14,10
4,3.0,Giants,Matt Bahr 22 yard field goal,14,13
5,4.0,Bills,Scott Norwood 29 yard field goal,17,13
