,Quarter,Time,Tm,Detail,SFO,STL
0,2.0,6:29,Rams,Jeff Wilkins 24 yard field goal,0,3
1,2.0,2:47,Rams,Steven Jackson 36 yard rush (Jeff Wilkins kick),0,10
2,2.0,1:11,49ers,Frank Gore 12 yard rush (Joe Nedney kick),7,10
3,2.0,0:00,Rams,Jeff Wilkins 51 yard field goal,7,13
4,3.0,2:21,49ers,Eric Johnson 1 yard pass from Alex Smith (Joe Nedney kick),14,13
5,4.0,3:54,49ers,Joe Nedney 24 yard field goal,17,13
6,4.0,0:27,Rams,Kevin Curtis 5 yard pass from Marc Bulger (Jeff Wilkins kick),17,20
