,Quarter,Tm,Detail,DEN,KAN
0,1.0,Chiefs,Lucious Smith 58 yard interception return (Nick Lowery kick),0,7
1,1.0,Chiefs,Carlos Carson 48 yard pass from Bill Kenney (Nick Lowery kick),0,14
2,1.0,Chiefs,Willie Scott 17 yard pass from Bill Kenney (Nick Lowery kick),0,21
3,2.0,Broncos,Rich Karlis 24 yard field goal,3,21
4,2.0,Chiefs,Theotis Brown 1 yard rush (Nick Lowery kick),3,28
5,3.0,Chiefs,Nick Lowery 38 yard field goal,3,31
6,3.0,Chiefs,Theotis Brown 6 yard rush (Nick Lowery kick),3,38
7,4.0,Chiefs,Nick Lowery 43 yard field goal,3,41
8,4.0,Broncos,Gerald Willhite 1 yard rush (Rich Karlis kick),10,41
9,4.0,Broncos,Gerald Willhite 2 yard rush (Rich Karlis kick),17,41
10,4.0,Chiefs,Stephone Paige 23 yard pass from Todd Blackledge (Nick Lowery kick),17,48
