,Quarter,Time,Tm,Detail,SEA,CAR
0,1.0,12:30,Panthers,Jonathan Stewart 4 yard rush (Graham Gano kick),0,7
1,1.0,11:38,Panthers,Luke Kuechly 14 yard interception return (Graham Gano kick),0,14
2,2.0,14:18,Panthers,Jonathan Stewart 1 yard rush (Graham Gano kick),0,21
3,2.0,12:37,Panthers,Graham Gano 48 yard field goal,0,24
4,2.0,6:26,Panthers,Greg Olsen 19 yard pass from Cam Newton (Graham Gano kick),0,31
5,3.0,13:27,Seahawks,Jermaine Kearse 13 yard pass from Russell Wilson (Stephen Hauschka kick),7,31
6,3.0,7:40,Seahawks,Tyler Lockett 33 yard pass from Russell Wilson (Stephen Hauschka kick),14,31
7,4.0,6:04,Seahawks,Jermaine Kearse 3 yard pass from Russell Wilson (Stephen Hauschka kick),21,31
8,4.0,1:12,Seahawks,Stephen Hauschka 36 yard field goal,24,31
