,Quarter,Tm,Detail,BAL,RAM
0,1,Colts,Steve Myhra 9 yard field goal,3,0
1,3,Rams,Billy Wade 66 yard rush (Danny Villanueva kick),3,7
2,4,Rams,Danny Villanueva 32 yard field goal,3,10
